,BJD,rv,cc,mean_wv_shift
0,2455539.55156159,87962.00000000055,3388533756.5875783,1.5683894784464567
1,2455516.6192935,87962.00000000055,2283140525.5057645,1.5684144109512197
2,2453055.50964132,87962.00000000055,2888024373.079702,1.5683909450643838
3,2454745.70987077,87952.00000000055,2251574305.829112,1.5682904160359148
4,2453668.7446581,87952.00000000055,2423036565.0561676,1.5682742850722413
5,2453718.77793735,87952.00000000055,3816554058.6785817,1.568214160571278
6,2453034.58112911,87952.00000000055,2163407160.498523,1.5681980296076048
7,2454709.87874675,87952.00000000055,1348094491.7300122,1.5683358760244483
8,2455498.63197134,87962.00000000055,990358947.1135798,1.5684393434559827
9,2454113.57324092,87952.00000000055,866438457.4489309,1.5681936302538761
10,2455142.57879419,87962.00000000055,610554127.8489015,1.5684290771304918
11,2452999.6244367,87952.00000000055,683350920.1090293,1.5682082947663059
12,2455485.74307967,88152.00000000065,1392512996.4521692,1.5718482604128208
13,2455139.67682462,88052.0000000006,1316952034.9140742,1.5700363103289978
14,2454344.83104138,87952.00000000055,5332189335.82042,1.5683446747319065
15,2455547.75532847,87612.00000000038,3862191066.730332,1.5621463118241945
16,2453700.66516036,87952.00000000055,3288549644.575793,1.568227358632465
17,2453697.64296253,87952.00000000055,2673877845.5909767,1.5682317579861944
18,2453003.62402881,87952.00000000055,1850828379.4837453,1.5682053618638196
19,2455505.69028137,88372.00000000077,2318025420.291814,1.5757375332733403
20,2455578.60750716,87962.00000000055,1246645961.9984853,1.5683689457954755
21,2455506.76535768,87962.00000000055,1964932650.5742462,1.568432010366347
22,2452941.73924339,87942.00000000055,843501114.5092261,1.568093094547336
23,2455551.61613397,87872.00000000051,3994517864.782313,1.5667735000820988
24,2454479.55443555,87962.00000000055,4000789271.8740587,1.568370412413403
25,2455481.77451756,87962.00000000055,591444445.6408604,1.568465742578673
26,2452999.6244367,87952.00000000055,683350920.1090293,1.5682082947663059
27,2455499.85420587,87832.0000000005,1590486418.4995852,1.566117615398637
28,2453761.56606772,87952.00000000055,1439241400.984721,1.5681994960588481
29,2455541.75379677,87962.00000000055,3719977467.7141733,1.5683865452106018
30,2455574.53867293,88222.00000000068,2141791613.4381118,1.573000459248985
31,2454710.86328695,87952.00000000055,1807713222.6351295,1.5683358760244483
32,2453757.56146511,87952.00000000055,1835519946.4166162,1.568199496058848
33,2455524.6092838,88232.0000000007,2378347661.872886,1.57321842723545
34,2455495.87105335,87962.00000000055,2690740708.8664837,1.5684437433097647
35,2453571.95045849,88872.00000000102,1651756016.4161825,1.584761391581441
36,2454055.71082992,87952.00000000055,3892636746.581743,1.5682420231448952
37,2452939.76300795,87942.00000000055,984414163.3118905,1.5680960271164537
38,2452983.6342367,87952.00000000055,4199059367.7391644,1.5682200263762502
39,2452947.67407429,87952.00000000055,964127535.028542,1.5682625534622976
40,2454706.88380167,87962.00000000055,619089584.0383701,1.5685126743523448
41,2455581.6838825,87962.00000000055,815395847.6088085,1.5683645459416935
42,2455509.6860606,87962.00000000055,2419529986.673416,1.5684305437484194
43,2453691.58946007,87702.00000000042,2761826456.0716777,1.5637827377775009
44,2455162.54586551,88112.00000000064,1101134784.444322,1.5710749916208728
45,2453316.82968088,87952.00000000055,628602272.004637,1.568252288303596
46,2455483.82734241,87952.00000000055,639377531.1959429,1.5682786844259706
47,2455582.62518653,87962.00000000055,711295084.8914931,1.56837187903133
48,2452997.56469832,87962.00000000055,1613097647.638984,1.5683850785926752
49,2454342.80120483,87952.00000000055,2604116176.7137785,1.5683461411831494
50,2455548.75612783,87962.00000000055,3909346783.155811,1.56838214535682
51,2455514.60203715,88252.00000000071,2023340129.8582728,1.5735852319413712
52,2455492.71867135,87962.00000000055,5502881521.392599,1.568446676545619
53,2453230.90446882,87952.00000000055,1212078593.1005223,1.5683564063418505
54,2453312.75647892,87952.00000000055,1470567810.3809307,1.5682552212060823
55,2455522.75285747,87962.00000000055,1946084328.7322478,1.5684070778615835
56,2455586.61131748,87962.00000000055,3231955051.0236673,1.5683689457954755
57,2454300.93498235,87952.00000000055,2585558415.176433,1.5683637385980655
58,2455575.59250577,87962.00000000055,2205528079.5428724,1.5683630793237664
59,2453341.69657266,87952.00000000055,2005993469.2881317,1.5682229592787362
60,2454053.72337628,87952.00000000055,5084452149.264183,1.5682464224986241
61,2453054.53792646,87962.00000000055,2321819167.7707148,1.5683909450643838
62,2455100.88324204,87952.00000000055,2247271406.9798245,1.568308013450831
63,2453055.50964132,87962.00000000055,2888024373.079702,1.5683909450643838
64,2455136.73641055,87962.00000000055,800763766.8651747,1.5684364102201285
65,2454113.57324092,87952.00000000055,866438457.4489309,1.5681936302538761
66,2455160.64042909,87832.0000000005,1207867773.6190646,1.5660853974759454
67,2453789.52510994,87952.00000000055,3696888803.0099444,1.5682156270225212
68,2454736.74183618,87962.00000000055,1011043466.1415386,1.5684848086117276
69,2453569.94514664,87952.00000000055,2099237375.507951,1.5683666715005518
70,2454454.66353341,87962.00000000055,2315076875.003265,1.5683806787388932
71,2454314.85265142,87962.00000000055,1328894986.3883007,1.5685405400929622
72,2454429.69915969,87962.00000000055,2488862604.8497734,1.5684085444795108
73,2455550.74052686,87962.00000000055,4086629165.2719493,1.568376278885112
74,2454076.73938752,87962.00000000055,1904360512.3968291,1.5683982781540202
75,2454709.87874675,87952.00000000055,1348094491.7300122,1.5683358760244483
76,2455101.87234749,87752.00000000045,1054206682.720886,1.5647383860380841
77,2453695.58389049,87952.00000000055,3934938250.1830297,1.5682332244374373
